Question String,Pronoun,Split1,Split2,Option1,Option2
The infection spread throughout the building because it was airborne.,it,The infection spread throughout the building because,it was airborne.,The infection,the building
The infection spread throughout the building because it was ventilated.,it,The infection spread throughout the building because,it was ventilated.,The infection,the building
The museum curator looked at the patron and said he should leave.,he,The museum curator looked at the patron and said,he should leave.,The museum curator,the patron
The museum curator looked at the patron and he saw him squirm.,he,The museum curator looked at the patron and,he saw him squirm.,The museum curator,the patron
Our professor told the TA that he needed his help.,he,Our professor told the TA that,he needed his help.,Our professor,the TA
Our professor told the TA that he could have the day off.,he,Our professor told the TA that,he could have the day off.,Our professor,the TA
Jack shouted at Bill because he crashed the car.,he,Jack shouted at Bill because,he crashed the car.,Jack,Bill
Jack shouted at Bill because he was angry.,he,Jack shouted at Bill because,he was angry.,Jack,Bill
The golfers waved on the players because they were waiting.,they,The golfers waved on the players because,they were waiting.,The golfers,the players
The golfers waved on the players because they were holding them up.,they,The golfers waved on the players because,they were holding them up.,The golfers,the players
Allen laughed at Jimmy because he told a funny joke.,he,Allen laughed at Jimmy because,he told a funny joke.,Allen,Jimmy
Allen laughed at Jimmy because he was making fun of him.,he,Allen laughed at Jimmy because,he was making fun of him.,Allen,Jimmy
The construction workers hollered at the girls when they walked by.,they,The construction workers hollered at the girls when,they walked by.,The construction workers,the girls
The construction workers hollered at the girls when they saw them.,they,The construction workers hollered at the girls when,they saw them.,The construction workers,the girls
Todd told Bill that he should run the presidency race.,he,Todd told Bill that,he should run the presidency race.,Todd,Bill
Todd told Bill that he needed some money.,he,Todd told Bill that,he needed some money.,Todd,Bill
Sally was really happy that Beth finally got a job because she had been unemployed for years.,she,Sally was really happy that Beth finally got a job because,she had been unemployed for years.,Sally,Beth
Sally was really happy that Beth finally got a job because she is a concerned friend.,she,Sally was really happy that Beth finally got a job because,she is a concerned friend.,Sally,Beth
The painting was at the museum because it was having a display.,it,The painting was at the museum because,it was having a display.,The painting,the museum
The painting was at the museum because it was on display.,it,The painting was at the museum because,it was on display.,The painting,the museum
Jill was writing on a pad for Jane because she needed directions.,she,Jill was writing on a pad for Jane because,she needed directions.,Jill,Jane
Jill was writing on a pad for Jane because she wanted to leave her address.,she,Jill was writing on a pad for Jane because,she wanted to leave her address.,Jill,Jane
The military prepared to go to battle with an Amish colony because they were amassing a dangerous number of goats without a permit.,they,The military prepared to go to battle with an Amish colony because,they were amassing a dangerous number of goats without a permit.,The military,an Amish colony
The military prepared to go to battle with an Amish colony because they felt threatened.,they,The military prepared to go to battle with an Amish colony because,they felt threatened.,The military,an Amish colony
The group grew tired of making these sentences because they are tedious.,they,The group grew tired of making these sentences because,they are tedious.,The group,these sentences
The group grew tired of making these sentences because they are lazy.,they,The group grew tired of making these sentences because,they are lazy.,The group,these sentences
The mysterious creature is drinking whiskey because it tastes good.,it,The mysterious creature is drinking whiskey because,it tastes good.,The mysterious creature,whiskey
The mysterious creature is drinking whiskey because it still has more of these sentences to write.,it,The mysterious creature is drinking whiskey because,it still has more of these sentences to write.,The mysterious creature,whiskey
Excalibur spent time with the stone because it needed a place to wait.,it,Excalibur spent time with the stone because,it needed a place to wait.,Excalibur,the stone
Excalibur spent time with the stone because it was very smooth and sturdy.,it,Excalibur spent time with the stone because,it was very smooth and sturdy.,Excalibur,the stone
The band loves their fans because they come to every show.,they,The band loves their fans because,they come to every show.,The band,their fans
The band loves their fans because they cannot exist without support.,they,The band loves their fans because,they cannot exist without support.,The band,their fans
Jimbo ate the fish that Bobbert prepared because he was a good cook.,he,Jimbo ate the fish that Bobbert prepared because,he was a good cook.,Jimbo,Bobbert
Jimbo ate the fish that Bobbert prepared because he was hungry.,he,Jimbo ate the fish that Bobbert prepared because,he was hungry.,Jimbo,Bobbert
The glass hit the floor and it broke.,it,The glass hit the floor and,it broke.,The glass,the floor
The glass hit the floor and it scratched.,it,The glass hit the floor and,it scratched.,The glass,the floor
The cow ran into the fence and it broke.,it,The cow ran into the fence and,it broke.,The cow,the fence
The cow ran into the fence and it got hurt.,it,The cow ran into the fence and,it got hurt.,The cow,the fence
Sally kicked Mary and she was hurt.,she,Sally kicked Mary and,she was hurt.,Sally,Mary
Sally kicked Mary and she apologized.,she,Sally kicked Mary and,she apologized.,Sally,Mary
Mary lied to Sue and she slapped her.,she,Mary lied to Sue and,she slapped her.,Mary,Sue
Mary lied to Sue and she asked for forgiveness.,she,Mary lied to Sue and,she asked for forgiveness.,Mary,Sue
David hit Bill and he enjoyed it.,he,David hit Bill and,he enjoyed it.,David,Bill
David hit Bill and he cried.,he,David hit Bill and,he cried.,David,Bill
The gardener watered the owner's rose because he was doing his job.,he,The gardener watered the owner's rose because,he was doing his job.,The gardener,the owner
The gardener watered the owner's rose because he paid him for that.,he,The gardener watered the owner's rose because,he paid him for that.,The gardener,the owner
Zidane headbutted Zambrotta because he could not control his anger.,he,Zidane,headbutted Zambrotta because he could not control his anger.,Zidane,Zambrotta
Zidane headbutted Zambrotta because he was being insulting.,he,Zidane,headbutted Zambrotta because he was being insulting.,Zidane,Zambrotta
